"inn"@;@"name"@;@"region_soato"@;@"district_soato"
"306276198"@;@ИП ООО Alicorn@;@"1726"@;@
"205068095"@;@"""FIDOIY QURUVCHI"" MCHJ"@;@"1703"@;@"1703224"
"310055701"@;@"""ANGREN GOFROKARTON FABRIKASI"" MCHJ XK"@;@"1727"@;@"1727407"
"310215192"@;@"""THE STONE HUB"" MCHJ XK"@;@"1712"@;@"1712412"
"304288327"@;@AVRORA TEXTILE BUSINESS MCHJ@;@"1726"@;@"1726280"
"303289413"@;@"""MILKOLINO PRODUCTS"" MCHJ"@;@"1727"@;@"1727248"
"307558329"@;@"ООО ""MED PRO RADIOLOGY"""@;@"1703"@;@
"311315297"@;@ООО ?GOLDEN  711?@;@"1703"@;@
"306738064"@;@MILLIONER EDU CONSULTING MCHJ@;@"1714"@;@
"306072817"@;@"""CHEMICAL INDUSTRY"" MCHJ"@;@"1712"@;@"1712401"
"308550964"@;@"""Bekabad Shahzodbek Trade"" LLC"@;@"1727"@;@
"306225695"@;@"""ALCO GLOBAL COMPANY"" MCHJ"@;@"1726"@;@"1726280"
"300084196"@;@"""FORTUNA GOLD INVEST LTD"" MCHJ"@;@"1718"@;@"1718233"
"303329053"@;@"""OPTIMAL OIL TRADE"" MCHJ"@;@"1730"@;@"1730401"
"301803004"@;@"""UZGERMED PHARM"" MCHJ"@;@"1727"@;@"1727239"
"304876892"@;@"""GLOBAL CARPETING PRODUCTION"" MCHJ XK"@;@"1726"@;@"1726269"
"309926485"@;@"""KVANT ENTREPRENEURS GROUP"" MCHJ"@;@"1726"@;@
"308514398"@;@"ООО ""MAXIMIZER"""@;@"1718"@;@
"303911969"@;@"""EVERGREEN TEXTILE"" MCHJ"@;@"1726"@;@"1726280"
"305383944"@;@"""PAHTAMASH"" MCHJ"@;@"1726"@;@"1726264"
"303823469"@;@"OOO ""SRU-LOGISTICS CENTER"""@;@"1712"@;@
"305852867"@;@"""OLTIN TEGIRMON GROUP"" MCHJ"@;@"1727"@;@"1727407"
"302994993"@;@"ООО ""BENAZIR-PEERPLESS"""@;@"1730"@;@
"311746964"@;@MALIBU-711 MCHJ@;@"1703"@;@
"309833278"@;@"OOO ""NEW EFFECTIVE  WAY"""@;@"1726"@;@
"308765015"@;@"""DREAM SILK"" MCHJ"@;@"1714"@;@"1714401"
"306253614"@;@"""DOSSO GROUP"" MCHJ"@;@"1714"@;@"1714212"
"302755063"@;@"""SHABNAM ELEGANT"" MCHJ"@;@"1727"@;@"1727249"
"309351206"@;@VERTUMTEX MCHJ@;@"1703"@;@"1703206"
"309667072"@;@"""TEXNOLOGY ARSENAL"" mas`uliyati cheklangan jamiyati"@;@"1718"@;@
"305677292"@;@"""YASNUR  TEX"" XK"@;@"1730"@;@"1730206"
"302816026"@;@"""BRICKS ANGREN"" MCHJ"@;@"1727"@;@"1727407"
"306143158"@;@"""FERULA IMPEXS"" ООО"@;@"1718"@;@
"311239201"@;@ООО ?FORZA TEKS?@;@"1714"@;@
"309764395"@;@"""MEGAPROTECT"" MCHJ"@;@"1708"@;@"1708212"
"306285069"@;@"""FARG‘ONA YOG‘ ZAVODI"" MCHJ"@;@"1730"@;@"1730227"
"309556242"@;@"""A IBRO EUROPLAST"" MCHJ QK"@;@"1703"@;@"1703230"
"427315689"@;@ИП Ахмеджанов Шавкат Хабибуллаевич@;@@;@
"309733845"@;@"ООО ""EURO-MARKA"""@;@"1706"@;@
"302366824"@;@"""GENEROUS VALLEY TRADING"" MCHJ"@;@"1730"@;@"1730412"
"306729843"@;@"ООО ""MUNDAL UZ AGRO"""@;@"1727"@;@
"207041936"@;@"""UZBEKISTAN GTL"" MCHJ"@;@"1710"@;@"1710235"
"311497809"@;@"""SILKWAYTEX"" MCHJ QK"@;@"1733"@;@"1733230"
"302527060"@;@ФX ?OBOD TURMUSH ZAMINI?@;@"1706"@;@
"307957418"@;@"""SURXON   COTTON  TEXTILE  CLUSTER"" MCHJ"@;@"1722"@;@"1722215"
"306434412"@;@"""PANDA INTEGRO"" MCHJ"@;@"1710"@;@"1710232"
"306109514"@;@"""PRISTA TRADING AND PACKAGING"" MCHJ"@;@"1726"@;@"1726266"
"309000150"@;@"""RISQI ULUG` BOLALAR"" MCHJ"@;@"1730"@;@"1730230"
"310951513"@;@"""AISHA TEXTILE FARGONA"" MCHJ"@;@"1730"@;@"1730401"
"310465319"@;@"""ATLES POP TEXTILE"" MCHJ"@;@"1714"@;@"1714219"
"310900211"@;@"""NORIN SILK"" MCHJ"@;@"1714"@;@"1714216"
"302214902"@;@"""FABIENNE INTER GROUP"" MCHJ QK"@;@"1727"@;@"1727424"
"306727743"@;@"""GRAND TOWEL TEXTILE"" MCHJ"@;@"1714"@;@"1714207"
"300503188"@;@"""NAVOIY MILLING"" MCHJ XK"@;@"1712"@;@"1712401"
"306304770"@;@OOO NISSAR PLAST@;@"1714"@;@
"304718390"@;@"ООО ""SHER AGRO EXPORT"""@;@"1708"@;@
"201101912"@;@"""QURILISHBUTLASHXIZMAT"" MCHJ"@;@"1726"@;@"1726290"
"305153201"@;@"""AZIYA MEAT PRODUCTS"" MCHJ"@;@"1726"@;@"1726262"
"306552338"@;@"ООО ""IMYU STARS"""@;@"1726"@;@
"310082788"@;@"""OOO EXPORT IMPORT ESTOFA BUSINESS"""@;@"1722"@;@
"310690997"@;@"ООО ""SHARQ-GARB"""@;@"1726"@;@
"303156254"@;@"""NASAF OLTINGUGURT KIMYO"" MCHJ"@;@"1710"@;@"1710224"
"200286572"@;@"""FORALL GROUP AND"" MCHJ"@;@"1703"@;@"1703224"
"311304041"@;@"""SANTEKS"" MCHJ"@;@"1718"@;@"1718233"
"311365204"@;@OOO ?NEW KLUSTER?@;@"1710"@;@
"203198324"@;@"""FAKTOR FAYZ"" MCHJ"@;@"1708"@;@"1708212"
"311180396"@;@ООО ASL TURAN@;@"1703"@;@
"311321647"@;@"ООО ""WHOLSALE MART"""@;@"1714"@;@
"306593270"@;@"""MIRSHOXID KAPITAL MEL SERVIS"" XK"@;@"1710"@;@"1710232"
"305040739"@;@"""TURON PROFESSIONAL FUTBOL KLUBI"" MCHJ"@;@"1730"@;@"1730230"
"310613394"@;@"""WORK WEAR PRO"" MCHJ"@;@"1726"@;@"1726266"
"303020961"@;@"""ASADBEK OYDINA SAVDO"" MCHJ"@;@"1714"@;@"1714401"
"308628342"@;@"""FITO BIO MAX"" MCHJ"@;@"1726"@;@"1726290"
"303448128"@;@"ООО ""INTERFOOD TASHKENT"""@;@"1703"@;@
"200212695"@;@"""DINAMO"" MCHJ"@;@"1733"@;@"1733233"
"200943704"@;@"""BRIZ"" MCHJ"@;@"1727"@;@"1727419"
"310663966"@;@IDEAL-PROFI-AGRO MCHJ@;@"1722"@;@
"308349247"@;@IZ-TASH KOMPAUND MCHJ  QO`SHMA KORXONA@;@"1726"@;@"1726280"
"311622074"@;@"""RAISINS EXPORT GROUP"" MCHJ"@;@"1718"@;@"1718209"
"307482614"@;@"""E`ZOZ NUR TEXTIL"" MCHJ"@;@"1727"@;@"1727248"
"307096152"@;@"""SARA EUROPE EXIM"" MCHJ"@;@"1714"@;@"1714212"
"310477739"@;@"""KIRAN-TEX"" MCHJ"@;@"1726"@;@"1726266"
"305871148"@;@"ООО ""GARDENENT"""@;@"1724"@;@
"305028933"@;@"""GOLD QUALITY INVEST"" XK"@;@"1730"@;@"1730412"
"200663071"@;@"""SUVMASH"" AJ"@;@"1726"@;@"1726264"
"307574927"@;@"""TCMT"" MCHJ QK"@;@"1726"@;@"1726262"
"311279635"@;@"OOO ""IMR EXPO BIZNES"""@;@"1703"@;@
"200046830"@;@"""NAMANGAN ASL GOFRA"" MCHJ"@;@"1714"@;@"1714401367"
"309197168"@;@"""BUKHARA AZTEKS"" MCHJ"@;@"1706"@;@"1706258"
"310674454"@;@"OOO "" SASS MULTIMETALL  GROUP"""@;@"1730"@;@
"308534935"@;@"СП ""NBF GOLD NUTS"""@;@"1727"@;@
"310020642"@;@OOO BESHARIQ EXPORT@;@"1730"@;@
"308655294"@;@KHUMOYUN IMPEX MCHJ@;@"1726"@;@
"201059014"@;@"""O`ZBEKENERGOTA`MIR"" AJ"@;@"1727"@;@"1727248"
"308884635"@;@"ООО ""KABUL SAMARKAND EXPORТ AND IMPORT"""@;@"1718"@;@
"205348640"@;@"""SO'QOQ SHAROB"" MCHJ"@;@"1727"@;@"1727249"
"306960416"@;@ООО SABZAVOT MEVA KORXONASI@;@"1726"@;@
"311321805"@;@"ООО ""ECO FRUITS LOGISTICS"""@;@"1726"@;@
"307999452"@;@"ООО ""SHER NUR LOGISTIKA"""@;@"1730"@;@
"310102531"@;@"ООО ""CHORTOQ BESTSEEDS"""@;@"1714"@;@
"200309218"@;@"ЧП ""QAYNAR"""@;@"1724"@;@
"307961398"@;@"""URBAN HAYOT"" MCHJ"@;@"1726"@;@"1726266"
"303428982"@;@"""ZELYONIE RASTENIYA IZVLECH"" MCHJ"@;@"1735"@;@"1735401"
"304453256"@;@"""INVICTUS TEXTILE"" OK"@;@"1730"@;@"1730405"
"310854134"@;@"""SMART MAX UPDATE"" MCHJ"@;@"1712"@;@"1712401"
"309820183"@;@"ООО ""DINAR-BUSINESS INFINITY"""@;@"1726"@;@
"308949323"@;@"""REGISTEEL ENERGY"" MCHJ"@;@"1726"@;@"1726280"
"306328274"@;@AGRO GREENHOUSE GROUP MCHJ@;@"1706"@;@
"310752894"@;@"""BUXARA BITUM INVEST"" MCHJ"@;@"1706"@;@"1706401"
"301184704"@;@"""TAKRO-OSIYO"" MCHJ"@;@"1727"@;@"1727237"
"302553473"@;@"""MEGA MASTER TEKSTIL"" MCHJ"@;@"1714"@;@"1714401"
"307755044"@;@"ООО ""BRAVO MASTER 777"""@;@"1724"@;@
"304989356"@;@"OOO ""SURXON GOLDEN TRADE"""@;@"1722"@;@
"311416005"@;@"ООО ""Office Brend Time"""@;@"1703"@;@
"310762162"@;@"СП ООО ""SEAM"""@;@"1726"@;@
"306593801"@;@"""INNOVATSION INVESTOR GOLD 7777"" MCHJ"@;@"1718"@;@"1718406"
"302525222"@;@"""GAZALKENT MEVA"" MCHJ"@;@"1727"@;@"1727224"
"310216516"@;@MCHJ GLOBALSELLERS@;@"1726"@;@
"303109682"@;@LION-MAX MCHJ@;@"1722"@;@
"306006334"@;@"OOO ""FRESHBIT"""@;@"1726"@;@
"306407928"@;@"F/Х ""HAMROQUL RUSTAMOV RUSTAMOVICH"""@;@"1718"@;@
"310714632"@;@"OOO ""ZEDD"""@;@"1724"@;@
"301497021"@;@"""NBF MED"" MCHJ"@;@"1726"@;@"1726262"
"308335240"@;@"OOO ""NARIMON BUSINESS STANDART"""@;@"1726"@;@
"311070034"@;@"""BAL VODIY EKSPO"" MCHJ"@;@"1703"@;@"1703217"
"205750934"@;@"Ф/Х ""FRESH FRUITS RISHTAN"""@;@"1730"@;@
"308868639"@;@LLC ?ALPHA OMEGA TRADERS?@;@"1726"@;@
"310909903"@;@"ООО ""NAMANGAN AGROMIR INDUSTRY"""@;@"1714"@;@
"203340511"@;@"""NOBEL PHARMSANOAT"" MCHJ XK"@;@"1726"@;@"1726269"
"307180444"@;@ROMITEX AGRO MCHJ@;@"1706"@;@
"310700469"@;@PAPER LINE MCHJ@;@"1730"@;@
"303977980"@;@"Ф/Х ""ANSORJON AGRO SAXOVATI"""@;@"1718"@;@
"307887315"@;@MCHJ JAVOHIR FURNITUR@;@"1727"@;@"1727265"
"301787579"@;@""" LITTLE XUSNIDDIN SHOES"" MCHJ"@;@"1730"@;@"1730236"
"310410616"@;@"""RED PERSIMMON"" MCHJ"@;@"1718"@;@"1718406"
"303060683"@;@"""SAODAT SANOAT SERVIS"" MCHJ"@;@"1714"@;@"1714401365"
"304092707"@;@"ЧП ""PADDOCK TRADE"""@;@"1726"@;@
"305517094"@;@"""BESHAGRO   EKSPORT"" MCHJ"@;@"1730"@;@"1730215"
"309368800"@;@ООО  ?PROGRESSZEROINFINITY?@;@"1718"@;@
"306060784"@;@"""OSIYO-TEKS"" MCHJ"@;@"1730"@;@"1730242"
"309033664"@;@ООО ?RUSPRODUCT?@;@"1718"@;@
"205994456"@;@"""UZTEX TASHKENT"" MCHJ"@;@"1726"@;@"1726283"
"308370294"@;@"""POLARAMA GROUP"" MCHJ"@;@"1727"@;@"1727424"
"201817219"@;@"""TRUCK LINE TASHKENT"""@;@"1726"@;@
"303284475"@;@ZOHIDJON OMAD MANBAYI MCHJ@;@"1727"@;@
"308519668"@;@"OOO ""UNI RIVER TRADE"""@;@"1726"@;@
"308224545"@;@"""CAPSTEXTILE"" MCHJ"@;@"1730"@;@"1730401"
"310935555"@;@"""ARAVT"" MCHJ"@;@"1703"@;@"1703401"
"309371047"@;@"ООО ""INTEGRALEUROTRADE"""@;@"1714"@;@
"308259636"@;@"""NATURAL TEXTILE"" MCHJ"@;@"1703"@;@"1703401"
"304842112"@;@"?ZARMAST GOLD "" LLC"@;@"1727"@;@
"304309884"@;@"""URGUT-UFA INVEST"" MCHJ"@;@"1718"@;@"1718236"
"201940770"@;@"""OLOY-NON"" MCHJ"@;@"1726"@;@"1726266"
"306726364"@;@OOO  ASLANBEK BOYSUN@;@"1722"@;@
"305257349"@;@"""DIAMOND - PERFUME"" MCHJ"@;@"1730"@;@"1730405"
"302595263"@;@"""GOLDEN HAPPINESS"" MCHJ"@;@"1726"@;@"1726292"
"305892446"@;@"ООО ""TRUST LEADER TRADING"""@;@"1726"@;@
"305646576"@;@"""TNK EVRAZIYA GROUP"" MCHJ"@;@"1726"@;@"1726269"
"310154752"@;@"OOO ""ALL PRO DISTRIBUTOR"""@;@"1726"@;@
"308491706"@;@OOO KUBAT IMPEX@;@"1726"@;@
"309892941"@;@"""SAMARKAND ARYA BARON"" MCHJ"@;@"1718"@;@"1718233"
"307570616"@;@"""KS LUX INTERTRADING"" MCHJ"@;@"1726"@;@"1726290"
"310943292"@;@METAKOMEKS OOO@;@"1718"@;@
"302199408"@;@"""JASUR AGROMASH SERVIS MASHINA TRAKTOR PARKI"" MCHJ"@;@"1722"@;@"1722212"
"301657644"@;@"""JAYRON MEL SAVDO"" XK"@;@"1710"@;@"1710232"
"306182822"@;@"""INFINECOM DISTRIBUTION"" MCHJ"@;@"1726"@;@"1726273"
"306089564"@;@"""G'IJDUVON SAYFI MEBEL"" OK"@;@"1706"@;@"1706215"
"310288221"@;@"""COTTON WORLD TEX"" MCHJ"@;@"1733"@;@"1733401"
"304496020"@;@MCHJ METAL PROCESSING TECHNOLOGY@;@"1726"@;@"1726294"
"310591147"@;@"""ANVAR-RUSTAM-O'G'LI"" MCHJ"@;@"1714"@;@"1714401367"
"302795520"@;@"""NISHON KO`ZGU"" FX"@;@"1710"@;@"1710235"
"310159040"@;@"""VENIK SORGO"" MCHJ"@;@"1730"@;@"1730209"
"305897408"@;@"OOO ""LEPRICON"""@;@"1726"@;@
"309826848"@;@"""CAPPADOCIA-TEXTILE"" MCHJ"@;@"1703"@;@"1703401"
"307111323"@;@Ф/Х ?AGRO EXPORT YANGIYO'L?@;@"1727"@;@
"311063596"@;@"ООО ""SNU NILUFAR TEKSTIL OLAMI"""@;@"1730"@;@
"309266374"@;@"ООО ""Сурхан Бахор томорга хизмати"""@;@"1722"@;@
"305642684"@;@ООО ?KANINCHEN?@;@"1727"@;@
"307335265"@;@"""SHAMOL ZARAFSHAN ENERGY"" MCHJ"@;@"1726"@;@"1726273"
"305106764"@;@"""LAB AND PRODUCTION SOLUTIONS"" MCHJ"@;@"1726"@;@"1726262"
"301186084"@;@"""TEMUR SHAMSUTDINOV KO'RKI"" XK"@;@"1730"@;@"1730215"
"306846231"@;@"""ANDIJON-TEX"" MCHJ XK"@;@"1703"@;@"1703236"
"305201497"@;@"ООО ""ZO`R FRUKT"""@;@"1730"@;@
"308385891"@;@"ООО ""ALLONOV EXPORT"""@;@"1730"@;@
"306880089"@;@"""TALENG"" MCHJ"@;@"1708"@;@"1708401"
"302480613"@;@"""BLEND MIX"" MCHJ"@;@"1712"@;@"1712401"
"309432190"@;@"""REDMOUSE AV INTEGRATION"" MCHJ XK"@;@"1726"@;@"1726273"
"305938290"@;@"OOO ""KUKMARA"""@;@"1726"@;@
"311787558"@;@OOO ?ASPANTAY AGRO IMPEKS?@;@"1735"@;@
"306208351"@;@"ООО ""STONE CENTER STOCK"""@;@"1726"@;@
"305446224"@;@"""BUMFA GROUP ASIA"" MCHJ XK"@;@"1727"@;@"1727407"
"305811180"@;@"""QADIR TEXTILE CLASTER"" MCHJ"@;@"1703"@;@"1703202"
"309946611"@;@ООО SHIMBAY ONIMI@;@"1735"@;@
"300063855"@;@KASTING REAL SERVIS@;@"1726"@;@"1726269"
"310293304"@;@?AGRO MAX DOCTOR? LLC@;@"1726"@;@
"310611365"@;@"""SABAH PACK"" MCHJ"@;@"1726"@;@"1726290"
"300058679"@;@"""CANDY GOLD"" MCHJ"@;@"1726"@;@"1726280"
"207347048"@;@"ПУ ""LINDNER SE PE"""@;@@;@
"306264649"@;@"""ELEGANC INVEST TEX"" MCHJ"@;@"1703"@;@"1703209"
"303622742"@;@JAVHAR FLOUR TRADE MCHJ@;@"1708"@;@"1708401"
"310998184"@;@"ООО ""S-AGRO NURSERY"""@;@"1722"@;@
"311658203"@;@ООО ?EURO FAYZ?@;@"1703"@;@
"311335074"@;@"ООО ""EUROAZIYA TRANS"""@;@"1722"@;@
"310522935"@;@"""BENTENTRADE"" MCHJ"@;@"1726"@;@"1726292"
"307232118"@;@MChJ ?TEHNOSOFT IMPEX?@;@"1718"@;@
"309167022"@;@HAMKOR-LOGISTIС МЧЖ@;@"1730"@;@
"304933845"@;@IRUSKON MCHJ@;@"1708"@;@"1708401"
"306942287"@;@ООО HAZORASP-TEXTIL@;@"1733"@;@
"301481668"@;@"""VALLEY COLOR "" XK"@;@"1730"@;@"1730221"
"301898005"@;@"ООО ""POYTAXT NASTARIN GULLARI"""@;@"1726"@;@
"305879849"@;@"""PROMKIPAVTOMATIKA ENGINEERING"" MCHJ"@;@"1726"@;@"1726273"
"301673848"@;@"""NEMO COLLECTION"" MCHJ"@;@"1727"@;@"1727401"
"306451874"@;@"""WANYANG"" MCHJ QK"@;@"1724"@;@"1724231"
"306091936"@;@"""GARDEN BUILD ORGANIZATION"" XK"@;@"1726"@;@
"306822705"@;@"""LUX CERAMICS GROUP"" MCHJ QK"@;@"1727"@;@"1727407"
"301789149"@;@"""CHOCO SOFT          "" MCHJ"@;@"1726"@;@"1726280"
"310759956"@;@"ООО ""BUSHRO TRADE"""@;@"1727"@;@
"309267784"@;@"OOO ""VOSTOK-GEOSINTETIX"""@;@"1726"@;@
"305899966"@;@"""E CLASS"" MCHJ"@;@"1726"@;@"1726287"
"304300098"@;@"OOO ""XIVA AHRORBEK JAVOXIR"""@;@"1733"@;@
"308891912"@;@ANSARI SALEH MCHJ XK@;@"1722"@;@
"302130439"@;@"""GRAND METALL SERVIS"" MCHJ"@;@"1714"@;@"1714229"
"300247973"@;@"Ф/Х ""NURMAT XO'JAQULOV"""@;@"1722"@;@
"302121021"@;@"""JNS LABS"" MCHJ QK"@;@"1726"@;@"1726262"
"311450788"@;@"""HAYOT-XUSNI OIL GROUP"" MCHJ"@;@"1727"@;@"1727265"
"308165975"@;@OOO AGRO GREEN GOLD EXPORT@;@"1722"@;@
"205768087"@;@"""UZCARLSBERG"" MCHJ XK"@;@"1726"@;@"1726290"
"309443178"@;@"ООО ""AZIYAVTORMET"""@;@"1726"@;@
"302615545"@;@"""GLORY FOOD"" MCHJ"@;@"1726"@;@"1726294"
"308501564"@;@"""AHSAN APPAREL"" MCHJ"@;@"1703"@;@"1703401"
"308002798"@;@MOLLIS MCHJ@;@"1730"@;@"1730221"
"302459201"@;@"OOO ""SALAR UN-DON NON"""@;@"1724"@;@
"206264414"@;@УЗБЕКИСТОН-ГЕРМАНИЯ UD AUDIFON@;@"1730"@;@"1730401"
"310480253"@;@ООО ?AGRO-CAPERS-G??@;@"1708"@;@
"303186938"@;@"""NEW SOLUTION SERVICE"" MCHJ"@;@"1726"@;@"1726294"
"310733712"@;@"ООО ""Ulug'bek Mirishkor Exsport Invest"""@;@"1710"@;@
"309576645"@;@"ООО ""Fruit Express7777"""@;@"1730"@;@
"306811703"@;@"""ABDULVOXID BILOL SHAMSIDDIN MEXNAT"" MCHJ"@;@"1714"@;@"1714229"
"311084673"@;@"OOO ""BEK EXPORT"""@;@"1714"@;@
"311043676"@;@"""STAR CHIC STYLE"" MCHJ"@;@"1703"@;@"1703401"
"309329856"@;@"OOO ""IMPORT ONLY"""@;@"1722"@;@
"306300144"@;@"""SCHETCHIKI"" MCHJ"@;@"1726"@;@"1726283"
"301257184"@;@"""CHORI PLAST"" MCHJ"@;@"1726"@;@"1726294"
"300912161"@;@"""MAVIS GLOBAL"" MCHJ"@;@"1726"@;@"1726262"
"305911698"@;@"""FALK PORSCHE FIBERGLASS"" MCHJ"@;@"1726"@;@"1726269"
"306624444"@;@"""GAMCHO LEE"" MCHJ"@;@"1735"@;@"1735225"
"305267035"@;@"""AGRO FERGANA EXPORT"" MCHJ"@;@"1730"@;@"1730209"
"302363425"@;@"""CAMPALIA"" MCHJ"@;@"1726"@;@"1726290"
"305998470"@;@"""AZNUR PLAST"" MCHJ"@;@"1727"@;@"1727237"
"305117688"@;@"ООО ""OZOD  LUQMON"""@;@"1706"@;@
"306107913"@;@"""TASHKENT POLYMER SINTEZ"" MCHJ"@;@"1727"@;@"1727239"
"306913575"@;@"""BAXT 20"" O/K"@;@"1730"@;@
"306814169"@;@"OOO ""BRAVO AGRO SITRUS"""@;@"1722"@;@
"310504324"@;@ООО VELES J RENT@;@"1726"@;@
"307878524"@;@"OOO ""CES"""@;@"1726"@;@
"304923066"@;@"OOO ""SAMARKAND MOTRID DRY FRUITS"""@;@"1718"@;@
"305217033"@;@"""IMKON PLAST SEZ"" UK"@;@"1730"@;@"1730221"
"306884035"@;@"""MINGBOSHI CERAMIC"" OK"@;@"1730"@;@"1730224"
"311703463"@;@"""HATIRCHI TEXTILE TRADING"" MCHJ"@;@"1712"@;@"1712251"
"302204510"@;@"ООО ""Chorbog'-Fayz-Invest"""@;@"1722"@;@
"310595118"@;@"СП ""AL BARAKOT EKSPORT"""@;@"1718"@;@
"308710993"@;@"""CASHGENICS"" MCHJ"@;@"1726"@;@"1726273"
"206455104"@;@"""IM POWER"" XK"@;@"1730"@;@"1730408"
"305027246"@;@"""MARSHOSH SHOES"" XK"@;@"1730"@;@"1730412"
"307503705"@;@"ООО ""BOOMCLUB"""@;@"1726"@;@
"302497116"@;@"""SARDOBA TEKSTIL"" MCHJ"@;@"1712"@;@"1712412"
"304695715"@;@ФХ SHAROF LOCHINBEK@;@"1722"@;@
"308585026"@;@ООО ?PARKENT AGROSEL BUSINES?@;@"1727"@;@
"310400518"@;@"ИП ООО ""GANHE TRADE CO"""@;@"1733"@;@
"300907586"@;@"""BUNYODKOR ZAMIN"" XK"@;@"1703"@;@"1703236"
"309789980"@;@ABDULLAGOLD MAS`ULIYATI CHEKLANGAN JAMIYAT@;@"1706"@;@
"305667130"@;@"""SIRDARYA METAL CONSTRUCTION"" MCHJ QK"@;@"1724"@;@"1724231"
"304940648"@;@"ООО ""DEXQON AGRO"""@;@"1727"@;@
"304700035"@;@"""ABSOLYUT AGRO PLYONKA"" MCHJ"@;@"1730"@;@"1730405"
"308232869"@;@"""TUPROQQAL`A TEXTIL"" MCHJ"@;@"1733"@;@"1733221"
"310921479"@;@OOO Ares LPG@;@"1726"@;@
"200605292"@;@"""INTER ROHAT"" AJ"@;@"1727"@;@"1727248"
"307162846"@;@"""MIKROTON TAS"" MCHJ"@;@"1726"@;@"1726283"
"308470580"@;@"ООО ""BAYNAZAROVA MUNIRA"""@;@"1730"@;@
"308894006"@;@"""POLYGASOIL TRADING"" MCHJ"@;@"1710"@;@"1710401"
"305413201"@;@"""STARS WASTE"" MCHJ"@;@"1726"@;@"1726273"
"302831515"@;@"""CHINOZ STAR PLAST"" MCHJ"@;@"1727"@;@"1727256"
"311632283"@;@ООО GLOBE EXPORT@;@"1706"@;@
"311471754"@;@"""XIVA FRUITS"" LLC"@;@"1710"@;@
"307446752"@;@"ООО ""ASN TREES"""@;@"1727"@;@
"306115334"@;@"""SAMARKAND-GOLDEN-CHICKPEAS"" OK"@;@"1718"@;@"1718401"
"302755704"@;@"""MEDEX TEXTILE"" MCHJ XK"@;@"1726"@;@"1726280"
"202400190"@;@"""MADANI"" MCHJ"@;@"1726"@;@"1726294"
"304374520"@;@"""MEATBALL"" XK"@;@"1727"@;@"1727237"
"309768484"@;@"OOO ""MILLIY-ART GROUP"""@;@"1714"@;@
"310266462"@;@"ООО ""COTTON RECYCLE"""@;@"1714"@;@
"206990414"@;@"""SUPER - ROLL"" MCHJ XK"@;@"1727"@;@"1727248"
"305036780"@;@"""AIKO RATTAN"" MCHJ"@;@"1726"@;@"1726292"
"307861166"@;@"ООО ""FIRALIS EXPORT"",Республика Узбекистан,"@;@"1722"@;@
"308124875"@;@"ООО ""STONE-WORLD"""@;@"1726"@;@
"311686066"@;@"ООО ""AGRO MILL DISTRIBUTION"""@;@"1726"@;@
"308951282"@;@"ООО ""Vet Farm Servis Madinabonu"""@;@"1714"@;@
"310279794"@;@"""TEKSIM"" MCHJ"@;@"1703"@;@"1703202"
"307810854"@;@"""SAMKAT MEGA STAR INVEST"" MCHJ"@;@"1718"@;@"1718406"
"311075454"@;@"OOO ""ADVANCE TRADING"""@;@"1726"@;@
"304695493"@;@"""DREAM LINE LOGISTICS"" MCHJ"@;@"1726"@;@"1726280"
"309551843"@;@"""SUNSTREAM"" MCHJ"@;@"1727"@;@"1727248"
"309081795"@;@"""PESHKU AGROKLASTER YOG` MOY"" MCHJ"@;@"1706"@;@"1706240"
"310068068"@;@"""FARUL-GROUP"" MCHJ"@;@"1727"@;@"1727415"
"206206943"@;@"""SMILE LUX"" MCHJ"@;@"1726"@;@"1726292"
"203016042"@;@"""URGUT-SHARQ"" MCHJ"@;@"1718"@;@"1718236"
"301038662"@;@"""DARITAL SHOES "" MCHJ"@;@"1733"@;@"1733401"
"311599443"@;@"""CHARLES SCHWAB"" MCHJ"@;@"1727"@;@"1727404"
"310365220"@;@"OOO ""KUNPENG SUPPLY CHAIN"""@;@"1726"@;@
"304930081"@;@"""MIRTEKS"" MCHJ"@;@"1727"@;@"1727256"
"307829970"@;@"ООО ""IDEAL AUTO TRANSPORT"""@;@"1726"@;@
"308580420"@;@"""BUSTON CLOFRITEX"" MCHJ"@;@"1727"@;@"1727224"
"306564869"@;@"""HYDRO COMPONENT"" MCHJ"@;@"1726"@;@"1726273"
"308618347"@;@"OOO ""KSM AGRO PLUS"""@;@"1726"@;@
"309352734"@;@"""FINEST DRINK PRODUCTION"" MCHJ"@;@"1714"@;@"1714212"
"305859944"@;@"ООО ""BASPAR"""@;@"1706"@;@
"307602978"@;@"""TUBO SPINNING"" MCHJ"@;@"1714"@;@"1714401365"
"309427821"@;@"""AKBARJON BARAKAT"" MCHJ"@;@"1706"@;@"1706403"
"302231296"@;@"""JIZZAX JUN"" MCHJ"@;@"1708"@;@"1708212"
"310432518"@;@"ООО ""VAR-LAK"""@;@"1726"@;@
"305228637"@;@"""AKMUS BARAKA STROY"" XK"@;@"1710"@;@"1710401"
"305034562"@;@"""LI DA METAL TECHNOLOGY"" MCHJ QK"@;@"1727"@;@"1727415"
"300836747"@;@"""VEKTAN TRADING"" MCHJ"@;@"1726"@;@"1726292"
"311387121"@;@"""SOF FAZO"" MCHJ"@;@"1727"@;@"1727259"
"205279370"@;@AROMA-KOLOR MCHJ@;@"1726"@;@"1726277"
"310358015"@;@"""DIBO PET FOOD"" MCHJ"@;@"1727"@;@"1727237"
